                  tag                   | count 
----------------------------------------+-------
 #coronavirus                           |  3841
 #COVID19                               |  1266
 #lockdown                              |   246
 #Covid_19                              |   224
 #covid19                               |   214
 #COVIDー19                             |   164
 #Corona                                |   147
 #COVID                                 |   130
 #covid                                 |   113
 #vaccine                               |    97
 #Covid                                 |    96
 #pandemia                              |    85
 #covid_19                              |    76
 #pandemic                              |    75
 #RakyatMerdeka                         |    71
 #RMCoid                                |    71
 #COVID__19                             |    70
 #ForaBolsonaro                         |    56
 #corona                                |    55
 #CoronaVaccine                         |    55
 #CovidVaccine                          |    54
 #HappyNewYear2021                      |    50
 #vaccination                           |    44
 #vaccinations                          |    44
 #nationallockdown                      |    43
 #Covid19UK                             |    40
 #Trump                                 |    40
 #StayHome                              |    38
 #Lockdown3                             |    35
 #VacinaParaTodos                       |    34
 #Covid19                               |    32
 #UnidosHagamosLaTarea                  |    32
 #Brasil                                |    31
 #LaTareaEsCuidarte                     |    31
 #NewYear                               |    31
 #NewYear2021                           |    29
 #coronavirusuk                         |    28
 #india                                 |    26
 #virus                                 |    26
 #CoronavirusStrain                     |    25
 #CoronaVirusUpdates                    |    25
 #quarantine                            |    25
 #news                                  |    24
 #sundayvibes                           |    24
 #lockdownuk                            |    22
 #RegiónDeMurcia                        |    22
 #schoolsreopening                      |    22
 #DoriaTemQueCair                       |    21
 #STFVergonhaNacional                   |    21
 #WearAMask                             |    21
 #BorisJohnson                          |    20
 #cdnpoli                               |    20
 #HimachalPradesh                       |    20
 #quarentena                            |    20
 #COVIDSecondWave                       |    19
 #India                                 |    19
 #London                                |    19
 #Murcia                                |    19
 #RegresoAClases                        |    19
 #SNTE                                  |    19
 #SNTEconMéxico                         |    19
 #level5                                |    18
 #QuedateEnCasa                         |    18
 #trump                                 |    18
 #vacina                                |    18
 #dpcm                                  |    17
 #StayAtHome                            |    17
 #staysafe                              |    17
 #كورونا                                |    17
 #COVID20                               |    16
 #COVIDIOTS                             |    16
 #cucitangan                            |    16
 #governo                               |    16
 #IndiaFightsCorona                     |    16
 #jagajarak                             |    16
 #Japan                                 |    16
 #pakaimasker                           |    16
