                  tag                   | count 
 #B117                                  |     5
 #BharatBiotech                         |     5
 #bidenharris2020                       |     5
 #books                                 |     5
 #Boris                                 |     5
 #capitolbuilding                       |     5
 #Chennai                               |     5
 #Children                              |     5
 #Coahuila                              |     5
 #Conservatives                         |     5
 #coronavirusaustralia                  |     5
 #COVID__19                             |     5
 #COVID_19                              |     5
 #covid19ĺockdown                       |     5
 #COVID19Mexico                         |     5
 #COVID19Tamilnadu                      |     5
 #covid19vaccine                        |     5
 #COVID19vaccine                        |     5
 #COVID19Vic                            |     5
 #covidireland                          |     5
 #covidvacccine                         |     5
 #covidvaccine                          |     5
 #Cuarentena                            |     5
 #CuarentenaMexico                      |     5
 #election2020                          |     5
 #fakenews                              |     5
 #family                                |     5
 #HomeSweetHome                         |     5
 #HomeTown                              |     5
 #immunity                              |     5
 #JanAndolan                            |     5
 #january6th                            |     5
 #japan                                 |     5
 #ldnont                                |     5
 #Lebanon                               |     5
 #MadhyaPradesh                         |     5
 #maskup                                |     5
 #memes                                 |     5
 #Mexico                                |     5
 #MidweekGloriousWord                   |     5
 #MilanJuventus                         |     5
 #mondaythoughts                        |     5
 #NarendraModi                          |     5
 #Odisha                                |     5
 #Plague                                |     5
 #poetry                                |     5
 #politicians                           |     5
 #politics                              |     5
 #publichealth                          |     5
 #quarantinelife                        |     5
 #QuarantineMexico                      |     5
 #QuedateEnCasa                         |     5
 #RayonMedia                            |     5
 #reading                               |     5
 #Saltillo                              |     5
 #SaudiArabia                           |     5
 #sedition                              |     5
 #StimulusCheck                         |     5
 #threats                               |     5
 #tier4                                 |     5
 #TrumpCoupAttempt                      |     5
 #tv                                    |     5
 #UAE                                   |     5
 #US                                    |     5
 #Uttarakhand                           |     5
 #Vaccin                                |     5
 #WashingtonDC                          |     5
 #WashYourHands                         |     5
 #07003covidupdate                      |     4
 #2021makeawish                         |     4
 #6gennaio                              |     4
 #actors                                |     4
 #Africa                                |     4
 #America                               |     4
 #Anxiety                               |     4
 #aot136spoilers                        |     4
 #AVisitedGeneration                    |     4
 #backtowork                            |     4
 #Bangladesh                            |     4
 #bctrucking                            |     4
 #beef                                  |     4
 #BlackLivesMatter                      |     4
 #BLACKPINK                             |     4
 #bloomfieldnj                          |     4
 #brexit                                |     4
 #BrexitReality                         |     4
 #canadarecovery                        |     4
 #cancer                                |     4
 #CapitalHill                           |     4
 #children                              |     4
 #china                                 |     4
 #ChinaVirus                            |     4
 #clapforheroes                         |     4
 #climatechange                         |     4
 #CoupAttempt                           |     4
 #Covid19InSA                           |     4
 #covid19SA                             |     4
 #COVID19SL                             |     4
 #covidbusiness                         |     4
 #CovidUK                               |     4
 #COVIDVaccination                      |     4
 #covidvax                              |     4
 #dangote                               |     4
 #dental                                |     4
 #dentist                               |     4
 #donaldtrump                           |     4
 #DowningStreetBriefing                 |     4
 #drinklocal                            |     4
 #education                             |     4
 #filmproduction                        |     4
 #gasen                                 |     4
 #georgia                               |     4
 #Georgia                               |     4
 #giving                                |     4
 #givingtuesday                         |     4
 #GOP                                   |     4
 #Greece                                |     4
 #Greececoronavirus                     |     4
 #Greececovid19                         |     4
 #Greecelockdown                        |     4
 #HerdImmunity                          |     4
 #Hospital                              |     4
 #hospitality                           |     4
 #ICU                                   |     4
 #Kerala                                |     4
 #lagos                                 |     4
 #law                                   |     4
 #Level5                                |     4
 #lifestyle                             |     4
 #MAGA                                  |     4
 #marr                                  |     4
 #memecredi                             |     4
 #Milan                                 |     4
 #mulund                                |     4
 #Mumbai                                |     4
 #Muzaffarpur                           |     4
 #Nagaland                              |     4
 #newbeginnings                         |     4
 #nitrile                               |     4
 #nurses                                |     4
 #NYC                                   |     4
 #NYE2020                               |     4
 #officeviewsofinstagram                |     4
 #Overheating                           |     4
 #OxfordVaccine                         |     4
 #Phoenix                               |     4
 #recovery                              |     4
 #RodPhillips                           |     4
 #rosmello                              |     4
 #science                               |     4
 #Science                               |     4
 #SeasoningWord                         |     4
 #Sheffield                             |     4
 #snowpose                              |     4
 #supportthearts                        |     4
 #Survivor                              |     4
 #Tamil                                 |     4
 #testing                               |     4
 #travelphotography                     |     4
 #TrumpIsANationalDisgrace              |     4
 #University                            |     4
 #vaccincovid19                         |     4
 #viral                                 |     4
 #Wales                                 |     4
 #wearamask                             |     4
 #winter                                |     4
 #yellowjournalism                      |     4
 #كورونا                                |     4
 #트와이스                              |     3
 #정인아_미안해                         |     3
 #12News                                |     3
 #2020Wrapped                           |     3
 #ableg                                 |     3
 #American                              |     3
 #AndhraPradesh                         |     3
 #anklets                               |     3
 #antimasker                            |     3
 #artist                                |     3
 #atlanta                               |     3
 #auspol                                |     3
 #BAEKHYUNBeyondLIVE                    |     3
 #BBC                                   |     3
 #BCCI                                  |     3
 #Begusarai                             |     3
 #BidenHarris2020                       |     3
 #BlessedSundayWord                     |     3
 #Boeing                                |     3
 #Bollywood                             |     3
 #borishasfailedtheuk                   |     3
 #brand                                 |     3
 #breakingnews                          |     3
 #Buffalo                               |     3
 #ByeDon                                |     3
 #CapitolBuilding                       |     3
 #CapitolHill                           |     3
 #cheshire                              |     3
 #Christmas2020                         |     3
 #church                                |     3
 #CobraKai                              |     3
 #comedy                                |     3
 #community                             |     3
 #Community                             |     3
 #Congress                              |     3
 #coronafilmklub                        |     3
 #CoronavirusIndia                      |     3
 #coronaviruspandemic                   |     3
 #covaxin                               |     3
 #COVID19ireland                        |     3
 #COVID19nsw                            |     3
 #COVID19Ontario                        |     3
 #CoWIN                                 |     3
 #Crypto                                |     3
 #cyrilramaphosa                        |     3
 #DCProtests                            |     3
 #Defense                               |     3
 #DEMVOICE1                             |     3
 #desinfeccion                          |     3
 #DoAsISayNotAsIDo                      |     3
 #Dubai                                 |     3
 #DuhamelGate                           |     3
 #EarlyTreatment                        |     3
 #edutwitter                            |     3
 #Election2020                          |     3
 #Epifania                              |     3
 #Essex                                 |     3
 #EU                                    |     3
 #europe                                |     3
 #EuropeanUnion                         |     3
 #exams2021                             |     3
 #FactoryFarming                        |     3
 #facts                                 |     3
 #fashionable                           |     3
 #fashionphotography                    |     3
 #Featured                              |     3
 #fireworks                             |     3
 #follow                                |     3
 #ForceTheVote                          |     3
 #fridaymorning                         |     3
 #fyp                                   |     3
 #gapol                                 |     3
 #Germany                               |     3
 #goldenretriever                       |     3
 #goodvibes                             |     3
 #GOPBetrayedAmerica                    |     3
 #GOPSeditiousTraitors                  |     3
 #GrandCrossoverService                 |     3
 #grandma                               |     3
 #gratitude                             |     3
 #Greececovid19vaccine                  |     3
 #handcrafted                           |     3
 #hashtag                               |     3
 #healthyfood                           |     3
 #hiphop                                |     3
 #HIV                                   |     3
 #hope                                  |     3
 #ImpeachTrumpAgainNOW                  |     3
 #ImpeachTrumpNow                       |     3
 #Indian                                |     3
 #instadaily                            |     3
 #Iran                                  |     3
 #Italien                               |     3
 #italy                                 |     3
 #KeepWorkersSafe                       |     3
 #laugh                                 |     3
 #Leadership                            |     3
 #LeavingCert2021                       |     3
 #maga                                  |     3
 #Maharashtra                           |     3
 #ManCity                               |     3
 #MartinCounty                          |     3
 #masshysteria                          |     3
 #MiamiDolphins                         |     3
 #MondayMotivation                      |     3
 #name                                  |     3
 #NEWS                                  |     3
 #NewsUpdate                            |     3
 #NewWorldOrder                         |     3
 #newyear2021                           |     3
 #NFL                                   |     3
 #NHSisOpen                             |     3
 #NoMasks                               |     3
 #OnePiece1000                          |     3
 #Ontario                               |     3
 #ontpoli                               |     3
 #openrp                                |     3
 #Pakistan                              |     3
 #pakistanredcrescent                   |     3
 #photooftheday                         |     3
 #populism                              |     3
 #ProtectTheNHS                         |     3
 #Pune                                  |     3
 #PutSouthAfricanFirst                  |     3
 #rap                                   |     3
 #raveparty                             |     3
 #researchers                           |     3
 #Scotland                              |     3
 #skyrockdedicace                       |     3
 #SouthAfrica                           |     3
 #staffordshire                         |     3
 #stimuluscheck                         |     3
 #stimuluschecks                        |     3
 #stockphotography                      |     3
 #SuperSpreaderEvent                    |     3
 #Sustainability                        |     3
 #sustainme                             |     3
 #svpol                                 |     3
 #Taiwan                                |     3
 #TankingForTua                         |     3
 #TedCruzKilledaCop                     |     3
 #texas                                 |     3
 #Thailand                              |     3
 #tier5                                 |     3
 #Tokyo                                 |     3
 #Tooting                               |     3
 #ToryIncompetence                      |     3
 #TraitorTrump                          |     3
 #Travel                                |     3
 #trending                              |     3
 #TuaTime                               |     3
 #tuesdaymotivations                    |     3
 #university                            |     3
 #USCapitol                             |     3
 #vegas                                 |     3
 #Vietnam                               |     3
 #vote                                  |     3
 #walking                               |     3
 #weather                               |     3
 #WeShallVaccinate                      |     3
 #woman                                 |     3
 #worklifegypsy                         |     3
 #ZeroCovid                             |     3
 #Zoonotic                              |     3
 #احتیاط_کرونا                          |     3
 #انکل_وزیرتعلیم_سکول_کھولیں            |     3
 #2020PresidentialElection              |     2
 #2020SuckedContest                     |     2
 #2021NewYear                           |     2
 #25thAmendmentNow                      |     2
 #411on420                              |     2
 #5G                                    |     2
 #abadcars                              |     2
 #abuja                                 |     2
 #ACLU                                  |     2
 #AirPollution                          |     2
 #Alcohol                               |     2
 #amen                                  |     2
 #ANC109                                |     2
 #Anime                                 |     2
 #anniegoes                             |     2
 #annieturnquest                        |     2
